LOCATION,STATE,FILTER,fips,COMFIRMED_COMFIRMED,DEATH,ADDED,RECOVERED,geoid,CONCA,Pop,HospitalBeds
Carter,Kentucky,,21043,1,0,0,0,21043,Carter Kentucky,27720,0
Carter,Missouri,,29035,3,1,0,0,29035,Carter Missouri,6265,0
Carter,Oklahoma,,40019,1,0,0,0,40019,Carter Oklahoma,47557,212
Carter,Tennessee,,47019,3,0,0,0,47019,Carter Tennessee,57424,121
Carteret,North Carolina,,37031,19,1,-6,0,37031,Carteret North Carolina,66469,135
Carver,Minnesota,,27019,10,0,0,0,27019,Carver Minnesota,91042,109
Cascade,Montana,,30013,11,0,0,0,30013,Cascade Montana,81327,436
Cass,Indiana,,18017,15,0,3,0,18017,Cass Indiana,38966,98
Cass,Michigan,,26027,9,1,0,0,26027,Cass Michigan,52293,25
Cass,Minnesota,,27021,3,0,0,0,27021,Cass Minnesota,28567,0
Cass,Missouri,,29037,25,1,0,0,29037,Cass Missouri,99478,106
Cass,Nebraska,,31025,3,0,1,0,31025,Cass Nebraska,25241,0
Cass,North Dakota,,38017,77,1,7,0,38017,Cass North Dakota,149778,1262
Cass,Texas,,48067,4,0,0,0,48067,Cass Texas,30464,43
Cassia,Idaho,,16031,5,1,0,0,16031,Cassia Idaho,22952,25
Castro,Texas,,48069,11,1,0,0,48069,Castro Texas,8062,17
Caswell,North Carolina,,37033,2,0,0,0,37033,Caswell North Carolina,23719,0
Catahoula,Louisiana,,22025,14,1,1,0,22025,Catahoula Louisiana,10407,0
Catawba,North Carolina,,37035,28,1,1,0,37035,Catawba North Carolina,154358,638
Catoosa,Georgia,,13047,7,0,0,0,13047,Catoosa Georgia,63942,185
Catron,New Mexico,,35003,1,0,0,0,35003,Catron New Mexico,3725,0
Cattaraugus,New York,,36009,15,0,2,0,36009,Cattaraugus New York,80317,186
Cayuga,New York,,36011,14,0,0,0,36011,Cayuga New York,80026,99
Cecil,Maryland,,24015,49,1,8,0,24015,Cecil Maryland,101108,122
Cedar,Iowa,,19031,18,0,5,0,19031,Cedar Iowa,18499,0
Cedar,Missouri,,29039,7,0,0,0,29039,Cedar Missouri,13982,25
Centre,Pennsylvania,,42027,57,0,2,0,42027,Centre Pennsylvania,153990,438
Cerro Gordo,Iowa,,19033,12,0,0,0,19033,Cerro Gordo Iowa,44151,586
Chaffee,Colorado,,8015,23,2,1,0,8015,Chaffee Colorado,17809,25
Chambers,Alabama,,1017,109,8,8,0,1017,Chambers Alabama,34215,115
Chambers,Texas,,48071,19,0,2,0,48071,Chambers Texas,35096,39
Champaign,Illinois,,17019,69,1,2,0,17019,Champaign Illinois,201081,549
Champaign,Ohio,,39021,5,0,0,0,39021,Champaign Ohio,40097,8
Chariton,Missouri,,29041,4,0,0,0,29041,Chariton Missouri,7831,0
Charles,Maryland,,24017,164,2,28,0,24017,Charles Maryland,146551,89
Charles City,Virginia,,51036,5,0,1,0,51036,Charles City Virginia,7256,0
Charles Mix,South Dakota,,46023,2,0,0,0,46023,Charles Mix South Dakota,9129,37
Charleston,South Carolina,,45019,305,1,0,0,45019,Charleston South Carolina,350209,2166
Charlevoix,Michigan,,26029,8,0,0,0,26029,Charlevoix Michigan,25949,25
Charlotte,Florida,,12015,76,1,9,0,12015,Charlotte Florida,159978,823
Charlotte,Virginia,,51037,1,0,0,0,51037,Charlotte Virginia,12586,0
Charlottesville,Virginia,,51540,23,1,0,0,51540,Charlottesville Virginia,43475,614
Charlton,Georgia,,13049,3,0,0,0,13049,Charlton Georgia,12171,0
Chatham,Georgia,,13051,125,4,8,0,13051,Chatham Georgia,265128,1717
Chatham,North Carolina,,37037,24,0,3,0,37037,Chatham North Carolina,63505,25
Chattahoochee,Georgia,,13053,2,0,0,0,13053,Chattahoochee Georgia,11267,57
Chattooga,Georgia,,13055,4,1,0,0,13055,Chattooga Georgia,26015,0
Chautauqua,Kansas,,20019,3,0,0,0,20019,Chautauqua Kansas,3669,25
Chautauqua,New York,,36013,18,2,0,0,36013,Chautauqua New York,134905,399
Chaves,New Mexico,,35005,15,0,0,0,35005,Chaves New Mexico,65645,229
Cheatham,Tennessee,,47021,13,0,0,0,47021,Cheatham Tennessee,39105,12
Cheboygan,Michigan,,26031,10,1,0,0,26031,Cheboygan Michigan,26152,0
Chelan,Washington,,53007,34,3,0,0,53007,Chelan Washington,72453,251
Chemung,New York,,36015,55,1,6,0,36015,Chemung New York,88830,391
Chenango,New York,,36017,53,0,2,0,36017,Chenango New York,50477,58
Cherokee,Alabama,,1019,7,0,1,0,1019,Cherokee Alabama,25989,60
Cherokee,Georgia,,13057,151,6,7,0,13057,Cherokee Georgia,214346,79
Cherokee,Kansas,,20021,5,0,0,0,20021,Cherokee Kansas,21603,54
Cherokee,North Carolina,,37039,12,1,0,0,37039,Cherokee North Carolina,27444,191
Cherokee,Oklahoma,,40021,16,1,0,0,40021,Cherokee Oklahoma,46987,100
Cherokee,South Carolina,,45021,4,0,0,0,45021,Cherokee South Carolina,55342,125
Cherokee,Texas,,48073,6,0,0,0,48073,Cherokee Texas,50845,429
Cherry,Nebraska,,31031,1,0,0,0,31031,Cherry Nebraska,5713,25
Chesapeake,Virginia,,51550,99,0,19,0,51550,Chesapeake Virginia,222209,310
Cheshire,New Hampshire,,33005,13,0,0,0,33005,Cheshire New Hampshire,77117,169
Chester,Pennsylvania,,42029,373,6,38,0,42029,Chester Pennsylvania,498886,1286
Chester,South Carolina,,45023,15,0,0,0,45023,Chester South Carolina,33140,82
Chester,Tennessee,,47023,6,0,-1,0,47023,Chester Tennessee,17131,0
Chesterfield,South Carolina,,45025,16,0,0,0,45025,Chesterfield South Carolina,46734,59
Chesterfield,Virginia,,51041,145,0,17,0,51041,Chesterfield Virginia,316236,466
Cheyenne,Nebraska,,31033,1,0,0,0,31033,Cheyenne Nebraska,9998,25
Chickasaw,Iowa,,19037,1,0,0,0,19037,Chickasaw Iowa,12439,18
Chickasaw,Mississippi,,28017,17,2,2,0,28017,Chickasaw Mississippi,17392,84
Chicot,Arkansas,,5017,2,0,0,0,5017,Chicot Arkansas,11800,40
Chilton,Alabama,,1021,20,0,0,0,1021,Chilton Alabama,43643,26
Chippewa,Michigan,,26033,1,0,0,0,26033,Chippewa Michigan,38520,82
Chippewa,Wisconsin,,55017,16,0,0,0,55017,Chippewa Wisconsin,62415,218
Chisago,Minnesota,,27025,5,1,0,0,27025,Chisago Minnesota,53887,61
Chittenden,Vermont,,50007,308,4,0,0,50007,Chittenden Vermont,156545,562
Choctaw,Alabama,,1023,6,0,0,0,1023,Choctaw Alabama,13859,25
Choctaw,Mississippi,,28019,9,1,0,0,28019,Choctaw Mississippi,8547,25
Choctaw,Oklahoma,,40023,2,0,0,0,40023,Choctaw Oklahoma,15205,64
Chowan,North Carolina,,37041,1,0,0,0,37041,Chowan North Carolina,14793,89
Christian,Illinois,,17021,23,3,1,0,17021,Christian Illinois,34800,67
Christian,Kentucky,,21047,32,0,0,0,21047,Christian Kentucky,73955,786
Christian,Missouri,,29043,17,0,0,0,29043,Christian Missouri,77422,0
Cibola,New Mexico,,35006,23,0,0,0,35006,Cibola New Mexico,27213,50
Citrus,Florida,,12017,54,2,3,0,12017,Citrus Florida,141236,332
Clackamas,Oregon,,41005,97,3,7,0,41005,Clackamas Oregon,375992,551
Claiborne,Louisiana,,22027,33,2,3,0,22027,Claiborne Louisiana,17195,0
Claiborne,Mississippi,,28021,3,0,0,0,28021,Claiborne Mississippi,9604,32
Claiborne,Tennessee,,47025,2,0,0,0,47025,Claiborne Tennessee,32213,85
Clallam,Washington,,53009,9,0,1,0,53009,Clallam Washington,71404,163
Clare,Michigan,,26035,2,0,0,0,26035,Clare Michigan,30926,49
Clarendon,South Carolina,,45027,68,2,0,0,45027,Clarendon South Carolina,34971,89
Clarion,Pennsylvania,,42031,8,0,-1,0,42031,Clarion Pennsylvania,39988,156
Clark,Arkansas,,5019,27,0,0,0,5019,Clark Arkansas,22995,25
Clark,Illinois,,17023,3,0,1,0,17023,Clark Illinois,16335,0
Clark,Indiana,,18019,86,7,4,0,18019,Clark Indiana,110232,378
Clark,Kentucky,,21049,11,0,0,0,21049,Clark Kentucky,35613,54
Clark,Missouri,,29045,1,0,0,0,29045,Clark Missouri,7139,0
Clark,Nevada,,32003,1878,65,144,0,32003,Clark Nevada,1951269,5467
Clark,Ohio,,39023,13,0,2,0,39023,Clark Ohio,138333,40
Clark,South Dakota,,46025,1,0,0,0,46025,Clark South Dakota,3691,0
Clark,Washington,,53011,190,13,5,0,53011,Clark Washington,425363,580
Clark,Wisconsin,,55019,7,0,0,0,55019,Clark Wisconsin,34690,49
Clarke,Alabama,,1025,10,0,0,0,1025,Clarke Alabama,25833,85
Clarke,Georgia,,13059,81,9,4,0,13059,Clarke Georgia,116714,574
Clarke,Iowa,,19039,1,0,0,0,19039,Clarke Iowa,9286,25
Clarke,Mississippi,,28023,10,1,0,0,28023,Clarke Mississippi,16732,25
Clarke,Virginia,,51043,3,0,1,0,51043,Clarke Virginia,14034,0
Clatsop,Oregon,,41007,5,0,1,0,41007,Clatsop Oregon,37039,289
Clay,Alabama,,1027,10,0,1,0,1027,Clay Alabama,13932,45
Clay,Arkansas,,5021,1,0,0,0,5021,Clay Arkansas,16083,25
Clay,Florida,,12019,97,7,9,0,12019,Clay Florida,190865,416
Clay,Georgia,,13061,13,1,3,0,13061,Clay Georgia,3183,0
Clay,Indiana,,18021,11,0,4,0,18021,Clay Indiana,26890,25
Clay,Iowa,,19041,2,0,0,0,19041,Clay Iowa,16667,99
Clay,Kansas,,20027,1,2,0,0,20027,Clay Kansas,8535,25
Clay,Minnesota,,27027,20,0,1,0,27027,Clay Minnesota,58999,0
Clay,Mississippi,,28025,11,0,1,0,28025,Clay Mississippi,20634,60
Clay,Missouri,,29047,37,1,0,0,29047,Clay Missouri,221939,905
Clay,North Carolina,,37043,3,0,0,0,37043,Clay North Carolina,10587,0
Clay,South Dakota,,46027,6,0,0,0,46027,Clay South Dakota,13864,25
Clay,Tennessee,,47027,2,0,1,0,47027,Clay Tennessee,7861,34
Clay,Texas,,48077,1,0,0,0,48077,Clay Texas,10752,25
Clayton,Georgia,,13063,293,11,27,0,13063,Clayton Georgia,259424,558
Clayton,Iowa,,19043,5,0,0,0,19043,Clayton Iowa,18129,50
Clear Creek,Colorado,,8019,7,0,0,0,8019,Clear Creek Colorado,9088,0
Clearfield,Pennsylvania,,42033,7,0,0,0,42033,Clearfield Pennsylvania,81642,310
Clearwater,Minnesota,,27029,2,0,0,0,27029,Clearwater Minnesota,8695,25
Cleburne,Alabama,,1029,12,0,3,0,1029,Cleburne Alabama,14972,0
Cleburne,Arkansas,,5023,67,2,1,0,5023,Cleburne Arkansas,25970,25
Clermont,Ohio,,39025,27,1,5,0,39025,Clermont Ohio,197363,148
Cleveland,Arkansas,,5025,7,0,0,0,5025,Cleveland Arkansas,8689,0
Cleveland,North Carolina,,37045,26,0,3,0,37045,Cleveland North Carolina,98078,371
Cleveland,Oklahoma,,40027,212,14,9,0,40027,Cleveland Oklahoma,255755,807
Clinch,Georgia,,13065,3,0,0,0,13065,Clinch Georgia,6798,25
Clinton,Illinois,,17027,13,0,2,0,17027,Clinton Illinois,37762,0
Clinton,Indiana,,18023,8,0,3,0,18023,Clinton Indiana,33224,25
Clinton,Iowa,,19045,19,0,2,0,19045,Clinton Iowa,49116,265
Clinton,Kentucky,,21053,1,0,0,0,21053,Clinton Kentucky,10272,42
Clinton,Michigan,,26037,82,1,9,0,26037,Clinton Michigan,75382,25
Clinton,Missouri,,29049,8,0,0,0,29049,Clinton Missouri,20743,58
Clinton,New York,,36019,39,0,2,0,36019,Clinton New York,82128,300
Clinton,Ohio,,39027,11,1,2,0,39027,Clinton Ohio,42040,165
Clinton,Pennsylvania,,42035,3,0,0,0,42035,Clinton Pennsylvania,39238,111
Cloud,Kansas,,20029,3,0,1,0,20029,Cloud Kansas,9533,25
Coahoma,Mississippi,,28027,32,1,2,0,28027,Coahoma Mississippi,26151,181
Cobb,Georgia,,13067,588,29,38,0,13067,Cobb Georgia,688078,1099
Cochise,Arizona,,4003,9,0,0,0,4003,Cochise Arizona,131346,184
Cocke,Tennessee,,47029,2,0,0,0,47029,Cocke Tennessee,35662,74
Coconino,Arizona,,4005,288,14,7,0,4005,Coconino Arizona,134421,308
Codington,South Dakota,,46029,12,0,0,0,46029,Codington South Dakota,27227,81
Coffee,Alabama,,1031,8,0,0,0,1031,Coffee Alabama,49948,131
Coffee,Georgia,,13069,44,2,6,0,13069,Coffee Georgia,42356,88
Coffee,Tennessee,,47031,7,0,0,0,47031,Coffee Tennessee,52796,184
Coffey,Kansas,,20031,35,1,3,0,20031,Coffey Kansas,8601,78
Colbert,Alabama,,1033,7,1,0,0,1033,Colbert Alabama,54428,363
Cole,Missouri,,29051,32,1,0,0,29051,Cole Missouri,75990,268
Coles,Illinois,,17029,2,0,2,0,17029,Coles Illinois,53873,118
Colfax,Nebraska,,31037,3,0,0,0,31037,Colfax Nebraska,10515,25
Colleton,South Carolina,,45029,10,0,0,0,45029,Colleton South Carolina,38892,131
Collier,Florida,,12021,277,3,6,0,12021,Collier Florida,321520,1051
Collin,Texas,,48085,343,5,37,0,48085,Collin Texas,782341,2649
Colonial Heights,Virginia,,51570,1,0,1,0,51570,Colonial Heights Virginia,17411,0
Colorado,Texas,,48089,6,0,3,0,48089,Colorado Texas,20874,103
Colquitt,Georgia,,13071,68,5,-1,0,13071,Colquitt Georgia,45498,158
Columbia,Arkansas,,5027,1,0,0,0,5027,Columbia Arkansas,24552,70
Columbia,Florida,,12023,17,0,1,0,12023,Columbia Florida,67531,346
Columbia,Georgia,,13073,48,1,2,0,13073,Columbia Georgia,124053,0
Columbia,New York,,36021,76,4,4,0,36021,Columbia New York,63096,192
Columbia,Oregon,,41009,8,0,0,0,41009,Columbia Oregon,49351,0
Columbia,Pennsylvania,,42037,54,1,12,0,42037,Columbia Pennsylvania,67295,173
Columbia,Washington,,53013,1,0,0,0,53013,Columbia Washington,4078,25
Columbia,Wisconsin,,55021,23,1,0,0,55021,Columbia Wisconsin,56833,98
Columbiana,Ohio,,39029,71,6,12,0,39029,Columbiana Ohio,107841,351
Columbus,North Carolina,,37047,14,1,1,0,37047,Columbus North Carolina,58098,154
Colusa,California,,6011,3,0,1,0,6011,Colusa California,21419,48
Comal,Texas,,48091,29,3,2,0,48091,Comal Texas,108472,340
Comanche,Oklahoma,,40031,44,0,2,0,40031,Comanche Oklahoma,124098,538
Comanche,Texas,,48093,3,0,0,0,48093,Comanche Texas,13974,25
Concordia,Louisiana,,22029,12,1,1,0,22029,Concordia Louisiana,20822,65
Conecuh,Alabama,,1035,4,0,2,0,1035,Conecuh Alabama,13228,58
Contra Costa,California,,6013,462,7,20,0,6013,Contra Costa California,1049025,1804
Converse,Wyoming,,56009,4,0,0,0,56009,Converse Wyoming,13833,25
Conway,Arkansas,,5029,1,1,0,0,5029,Conway Arkansas,21273,35
Cook,Georgia,,13075,4,0,1,0,13075,Cook Georgia,17212,60
Cook,Illinois,,17031,10520,310,1792,0,17031,Cook Illinois,5194675,17992
Cooper,Missouri,,29053,2,0,0,0,29053,Cooper Missouri,17601,70
Coos,New Hampshire,,33007,1,0,0,0,33007,Coos New Hampshire,33055,66
Coosa,Alabama,,1037,9,0,0,0,1037,Coosa Alabama,11539,0
Copiah,Mississippi,,28029,19,0,2,0,28029,Copiah Mississippi,29449,25
Cortland,New York,,36023,16,0,0,0,36023,Cortland New York,49336,162
Coryell,Texas,,48099,12,0,1,0,48099,Coryell Texas,75388,25
Coshocton,Ohio,,39031,10,0,0,0,39031,Coshocton Ohio,36901,56
Costilla,Colorado,,8023,3,0,0,0,8023,Costilla Colorado,3524,0
Cotton,Oklahoma,,40033,4,0,0,0,40033,Cotton Oklahoma,6193,0
Cottonwood,Minnesota,,27033,5,0,0,0,27033,Cottonwood Minnesota,11687,26
Covington,Alabama,,1039,9,0,4,0,1039,Covington Alabama,37765,187
Covington,Mississippi,,28031,7,0,0,0,28031,Covington Mississippi,19568,35
Covington,Virginia,,51580,1,0,0,0,51580,Covington Virginia,5961,0
Coweta,Georgia,,13077,79,2,0,0,13077,Coweta Georgia,127317,211
Cowley,Kansas,,20035,1,0,0,0,20035,Cowley Kansas,36311,62
Cowlitz,Washington,,53015,21,0,0,0,53015,Cowlitz Washington,102410,202
Craig,Oklahoma,,40035,5,0,1,0,40035,Craig Oklahoma,15029,51
Craig,Virginia,,51045,2,0,0,0,51045,Craig Virginia,5190,0
Craighead,Arkansas,,5031,23,0,1,0,5031,Craighead Arkansas,96443,619
Crane,Texas,,48103,2,0,0,0,48103,Crane Texas,4375,25
Craven,North Carolina,,37049,19,0,1,0,37049,Craven North Carolina,103505,350
Crawford,Arkansas,,5033,1,0,0,0,5033,Crawford Arkansas,61948,103
Crawford,Georgia,,13079,3,0,1,0,13079,Crawford Georgia,12630,0
Crawford,Illinois,,17033,4,0,-1,0,17033,Crawford Illinois,19817,63
Crawford,Indiana,,18025,11,0,2,0,18025,Crawford Indiana,10713,0
Crawford,Iowa,,19047,6,0,1,0,19047,Crawford Iowa,17096,25
Crawford,Kansas,,20037,4,1,-2,0,20037,Crawford Kansas,39134,146
Crawford,Michigan,,26039,5,1,0,0,26039,Crawford Michigan,14074,71
Crawford,Missouri,,29055,3,0,0,0,29055,Crawford Missouri,24696,35
Crawford,Ohio,,39033,9,0,0,0,39033,Crawford Ohio,43784,75
Crawford,Pennsylvania,,42039,8,0,0,0,42039,Crawford Pennsylvania,88765,289
Crawford,Wisconsin,,55023,2,0,0,0,55023,Crawford Wisconsin,16644,25
Creek,Oklahoma,,40037,47,2,0,0,40037,Creek Oklahoma,69967,95
Crenshaw,Alabama,,1041,2,0,0,0,1041,Crenshaw Alabama,13906,93
Crisp,Georgia,,13081,48,0,2,0,13081,Crisp Georgia,23439,73
Crittenden,Arkansas,,5035,61,0,3,0,5035,Crittenden Arkansas,50902,54
Crittenden,Kentucky,,21055,2,0,0,0,21055,Crittenden Kentucky,9315,48
Crockett,Tennessee,,47033,0,0,0,0,47033,Crockett Tennessee,14586,0
Crook,Oregon,,41013,1,0,0,0,41013,Crook Oregon,20978,0
Crook,Wyoming,,56011,1,0,0,0,56011,Crook Wyoming,7083,16
Crosby,Texas,,48107,1,0,0,0,48107,Crosby Texas,6059,25
Cross,Arkansas,,5037,5,0,0,0,5037,Cross Arkansas,17870,25
Crow Wing,Minnesota,,27035,10,0,1,0,27035,Crow Wing Minnesota,62500,212
Crowley,Colorado,,8025,1,1,0,0,8025,Crowley Colorado,5823,0
Cullman,Alabama,,1043,22,1,1,0,1043,Cullman Alabama,80406,185
Culpeper,Virginia,,51047,10,0,1,0,51047,Culpeper Virginia,46689,70
Cumberland,Illinois,,17035,1,0,0,0,17035,Cumberland Illinois,11048,0
Cumberland,Kentucky,,21057,1,0,0,0,21057,Cumberland Kentucky,6856,25
Cumberland,Maine,,23005,262,10,9,0,23005,Cumberland Maine,281674,1184
Cumberland,New Jersey,,34011,80,2,9,0,34011,Cumberland New Jersey,156898,511
Cumberland,North Carolina,,37051,66,1,4,0,37051,Cumberland North Carolina,319431,666
Cumberland,Pennsylvania,,42041,84,2,7,0,42041,Cumberland Pennsylvania,235406,590
Cumberland,Tennessee,,47035,33,0,1,0,47035,Cumberland Tennessee,56053,189
Cumberland,Virginia,,51049,6,0,0,0,51049,Cumberland Virginia,10052,0
Cuming,Nebraska,,31039,2,0,0,0,31039,Cuming Nebraska,9139,25
Currituck,North Carolina,,37053,3,0,0,0,37053,Currituck North Carolina,23547,0
Curry,New Mexico,,35009,8,0,0,0,35009,Curry New Mexico,48376,106
Curry,Oregon,,41015,2,0,0,0,41015,Curry Oregon,22364,24
Custer,Colorado,,8027,2,0,0,0,8027,Custer Colorado,4255,0
Custer,Idaho,,16037,2,0,0,0,16037,Custer Idaho,4368,0
Custer,Nebraska,,31041,3,0,2,0,31041,Custer Nebraska,10939,35
Custer,Oklahoma,,40039,5,0,0,0,40039,Custer Oklahoma,27469,81
Cuyahoga,Ohio,,39035,960,23,49,0,39035,Cuyahoga Ohio,1280122,8105
Dade,Georgia,,13083,2,1,1,0,13083,Dade Georgia,16633,13
Dakota,Minnesota,,27037,75,3,4,0,27037,Dakota Minnesota,398552,259
Dale,Alabama,,1045,4,0,0,0,1045,Dale Alabama,50251,89
Dallam,Texas,,48111,1,0,0,0,48111,Dallam Texas,6703,0
Dallas,Alabama,,1047,7,0,0,0,1047,Dallas Alabama,43820,175
Dallas,Arkansas,,5039,1,0,0,0,5039,Dallas Arkansas,8116,25
Dallas,Iowa,,19049,35,0,0,0,19049,Dallas Iowa,66135,120
Dallas,Missouri,,29059,1,0,0,0,29059,Dallas Missouri,16777,0
Dallas,Texas,,48113,1324,20,63,0,48113,Dallas Texas,2368139,8721
Dane,Wisconsin,,55025,303,11,14,0,55025,Dane Wisconsin,488073,2073
Danville,Virginia,,51590,15,0,0,0,51590,Danville Virginia,43055,250
Dare,North Carolina,,37055,10,0,4,0,37055,Dare North Carolina,33920,21
Darke,Ohio,,39037,38,7,4,0,39037,Darke Ohio,52959,104
Darlington,South Carolina,,45031,29,0,0,0,45031,Darlington South Carolina,68681,188
Dauphin,Pennsylvania,,42043,168,2,13,0,42043,Dauphin Pennsylvania,268100,1189
Davidson,North Carolina,,37057,73,1,3,0,37057,Davidson North Carolina,162878,243
Davidson,Tennessee,,47037,946,13,58,0,47037,Davidson Tennessee,626681,4489
Davie,North Carolina,,37059,20,2,0,0,37059,Davie North Carolina,41240,50
Daviess,Indiana,,18027,5,1,1,0,18027,Daviess Indiana,31648,80
Daviess,Kentucky,,21059,58,1,0,0,21059,Daviess Kentucky,96656,527
Davis,Utah,,49011,163,2,5,0,49011,Davis Utah,306479,579
Davison,South Dakota,,46035,3,0,0,0,46035,Davison South Dakota,19504,67
Dawson,Georgia,,13085,22,1,2,0,13085,Dawson Georgia,22330,0
Dawson,Nebraska,,31047,1,0,0,0,31047,Dawson Nebraska,24326,58
Dawson,Texas,,48115,7,0,0,0,48115,Dawson Texas,13833,22
De Soto,Louisiana,,22031,91,7,2,0,22031,De Soto Louisiana,26656,0
De Witt,Illinois,,17039,2,0,-1,0,17039,De Witt Illinois,16561,25
DeKalb,Alabama,,1049,14,0,0,0,1049,DeKalb Alabama,71109,134
DeKalb,Georgia,,13089,706,11,61,0,13089,DeKalb Georgia,691893,2436
DeKalb,Illinois,,17037,32,1,10,0,17037,DeKalb Illinois,105160,191
DeKalb,Indiana,,18033,4,0,0,0,18033,DeKalb Indiana,42223,72
DeKalb,Missouri,,29063,1,0,0,0,29063,DeKalb Missouri,12892,0
DeKalb,Tennessee,,,7,0,0,0,1049,DeKalb Tennessee,71109,134
DeSoto,Florida,,12027,18,3,2,0,12027,DeSoto Florida,34862,49
DeSoto,Mississippi,,28033,144,1,4,0,28033,DeSoto Mississippi,161252,514
DeWitt,Texas,,48123,7,0,0,0,48123,DeWitt Texas,20097,49
Deaf Smith,Texas,,48117,7,0,0,0,48117,Deaf Smith Texas,19372,42
Dearborn,Indiana,,18029,47,2,6,0,18029,Dearborn Indiana,50047,104
Decatur,Georgia,,13087,30,0,13,0,13087,Decatur Georgia,27842,80
Decatur,Indiana,,18031,99,6,9,0,18031,Decatur Indiana,25740,25
Decatur,Tennessee,,47039,1,0,1,0,47039,Decatur Tennessee,11757,40
Deer Lodge,Montana,,30023,3,0,0,0,30023,Deer Lodge Montana,9298,261
Defiance,Ohio,,39039,10,0,1,0,39039,Defiance Ohio,39037,104
Del Norte,California,,6015,2,0,0,0,6015,Del Norte California,28610,49
Delaware,Indiana,,18035,46,1,6,0,18035,Delaware Indiana,117671,411
Delaware,Iowa,,19055,1,0,0,0,19055,Delaware Iowa,17764,25
Delaware,New York,,36025,37,1,1,0,36025,Delaware New York,47980,67
Delaware,Ohio,,39041,79,1,2,0,39041,Delaware Ohio,174214,212
Delaware,Oklahoma,,40041,13,0,0,0,40041,Delaware Oklahoma,41487,58
Delaware,Pennsylvania,,42045,1034,23,136,0,42045,Delaware Pennsylvania,558979,1123
Delta,Colorado,,8029,5,1,0,0,8029,Delta Colorado,30952,49
Delta,Michigan,,26041,8,0,1,0,26041,Delta Michigan,37069,25
Denton,Texas,,48121,366,7,0,0,48121,Denton Texas,662614,1516
Denver,Colorado,,8031,927,33,43,0,8031,Denver Colorado,600158,2361
Des Moines,Iowa,,19057,3,0,0,0,19057,Des Moines Iowa,40325,213
Deschutes,Oregon,,41017,44,0,4,0,41017,Deschutes Oregon,157733,308
Desha,Arkansas,,5041,5,0,0,0,5041,Desha Arkansas,13008,50
Deuel,South Dakota,,46039,1,0,0,0,46039,Deuel South Dakota,4364,10
Dewey,Oklahoma,,40043,1,0,0,0,40043,Dewey Oklahoma,4810,18
Dickens,Texas,,48125,1,0,1,0,48125,Dickens Texas,2444,0
Dickenson,Virginia,,51051,0,0,0,0,51051,Dickenson Virginia,15903,25
Dickinson,Iowa,,19059,1,0,0,0,19059,Dickinson Iowa,16667,49
Dickinson,Michigan,,26043,2,1,0,0,26043,Dickinson Michigan,26168,96
Dickson,Tennessee,,47043,26,0,-1,0,47043,Dickson Tennessee,49666,157
Dillon,South Carolina,,45033,1,0,0,0,45033,Dillon South Carolina,32062,79
Dinwiddie,Virginia,,51053,2,0,1,0,51053,Dinwiddie Virginia,28001,0
District of Columbia,District of Columbia,,11001,1440,27,229,0,11001,District of Columbia District of Columbia,601723,4304
Divide,North Dakota,,38023,1,0,0,0,38023,Divide North Dakota,2071,15
Dixie,Florida,,12029,2,0,1,0,12029,Dixie Florida,16422,0
Dodge,Georgia,,13091,9,0,1,0,13091,Dodge Georgia,21796,94
Dodge,Minnesota,,27039,13,0,2,0,27039,Dodge Minnesota,20087,0
Dodge,Nebraska,,31053,7,0,0,0,31053,Dodge Nebraska,36691,81
Dodge,Wisconsin,,55027,15,0,0,0,55027,Dodge Wisconsin,88759,245
Dona Ana,New Mexico,,35013,35,0,0,0,35013,Dona Ana New Mexico,209233,603
Doniphan,Kansas,,20043,1,0,0,0,20043,Doniphan Kansas,7945,0
Donley,Texas,,48129,13,0,6,0,48129,Donley Texas,3677,0
Dooly,Georgia,,13093,27,1,-1,0,13093,Dooly Georgia,14918,0
Door,Wisconsin,,55029,7,0,0,0,55029,Door Wisconsin,27785,25
Dorchester,Maryland,,24019,4,0,1,0,24019,Dorchester Maryland,32618,409
Dorchester,South Carolina,,45035,51,0,0,0,45035,Dorchester South Carolina,136555,104
Dougherty,Georgia,,13095,986,61,47,0,13095,Dougherty Georgia,94565,939
Douglas,Colorado,,8035,244,8,12,0,8035,Douglas Colorado,285465,286
Douglas,Georgia,,13097,122,5,11,0,13097,Douglas Georgia,132403,192
Douglas,Illinois,,17041,10,0,0,0,17041,Douglas Illinois,19980,0
Douglas,Kansas,,20045,38,0,0,0,20045,Douglas Kansas,110826,152
Douglas,Minnesota,,27041,1,0,0,0,27041,Douglas Minnesota,36009,127
Douglas,Nebraska,,31055,181,5,22,0,31055,Douglas Nebraska,517110,3068
Douglas,Nevada,,32005,8,0,1,0,32005,Douglas Nevada,46997,23
Douglas,Oregon,,41019,12,0,0,0,41019,Douglas Oregon,107667,141
Douglas,Washington,,53017,10,0,0,0,53017,Douglas Washington,38431,0
Douglas,Wisconsin,,55031,7,0,0,0,55031,Douglas Wisconsin,44159,25
Drew,Arkansas,,5043,5,0,0,0,5043,Drew Arkansas,18509,49
DuPage,Illinois,,17043,875,30,160,0,17043,DuPage Illinois,916924,1880
Dubois,Indiana,,18037,9,0,2,0,18037,Dubois Indiana,41889,123
Dubuque,Iowa,,19061,28,1,0,0,19061,Dubuque Iowa,93653,470
