LOCATION,IF_STATE,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds,ComfirmedPerBed
Renville,0,Minnesota,1,1,0,,Renville Minnesota,27129,15730,16,0.0625
Grand Princess,1,Grand Pr,21,,0,,Grand Princess Grand Pr,#N/A,#N/A,#N/A,#N/A
Unassigned,2,Grand Pr,18,,0,,Unassigned Grand Pr,#N/A,#N/A,#N/A,#N/A
San Diego,2,Grand Pr,3,,0,,San Diego Grand Pr,#N/A,#N/A,#N/A,#N/A
Rhode Island state,1,Rhode Island,20,6,0,,Rhode Island state Rhode Island,#N/A,#N/A,#N/A,#N/A
Providence,0,Rhode Island,20,6,0,,Providence Rhode Island,44007,626667,3272,0.006112469438
South Carolina state,1,South Carolina,19,6,0,,South Carolina state South Carolina,#N/A,#N/A,#N/A,#N/A
Kershaw,0,South Carolina,11,2,0,,Kershaw South Carolina,45055,61697,121,0.09090909091
Beaufort,0,South Carolina,3,3,0,,Beaufort South Carolina,45013,162233,290,0.01034482759
Lancaster,0,South Carolina,2,,0,,Lancaster South Carolina,45057,76652,253,0.00790513834
Charleston,0,South Carolina,1,,0,,Charleston South Carolina,45019,350209,2166,0.0004616805171
Spartanburg,0,South Carolina,1,,0,,Spartanburg South Carolina,45083,284307,943,0.001060445387
Lexington,0,South Carolina,1,1,0,,Lexington South Carolina,45063,262391,556,0.001798561151
Nebraska state,1,Nebraska,18,4,0,,Nebraska state Nebraska,#N/A,#N/A,#N/A,#N/A
Douglas,0,Nebraska,16,4,0,,Douglas Nebraska,31055,517110,3068,0.005215123859
Knox,0,Nebraska,1,,0,,Knox Nebraska,31107,8701,23,0.04347826087
Cass,0,Nebraska,1,,0,,Cass Nebraska,31025,25241,0,99999999999
Iowa state,1,Iowa,17,,0,,Iowa state Iowa,#N/A,#N/A,#N/A,#N/A
Johnson,0,Iowa,14,,0,,Johnson Iowa,19103,130882,1383,0.01012292119
Pottawattamie,0,Iowa,1,,0,,Pottawattamie Iowa,19155,93158,514,0.001945525292
Carroll,0,Iowa,1,,0,,Carroll Iowa,19027,20816,116,0.008620689655
Harrison,0,Iowa,1,,0,,Harrison Iowa,19085,14928,25,0.04
Indiana state,1,Indiana,16,3,0,,Indiana state Indiana,#N/A,#N/A,#N/A,#N/A
Johnson,0,Indiana,3,,0,,Johnson Indiana,18081,139654,275,0.01090909091
Marion,0,Indiana,3,1,0,,Marion Indiana,18097,903393,3595,0.0008344923505
Hendricks,0,Indiana,2,,0,,Hendricks Indiana,18063,145448,287,0.006968641115
Noble,0,Indiana,1,,0,,Noble Indiana,18113,47536,31,0.03225806452
Adams,0,Indiana,1,,0,,Adams Indiana,18001,34387,35,0.02857142857
Boone,0,Indiana,1,,0,,Boone Indiana,18011,56640,52,0.01923076923
Howard,0,Indiana,1,,0,,Howard Indiana,18067,82752,254,0.003937007874
St. Joseph,0,Indiana,1,,0,,St. Joseph Indiana,18141,266931,811,0.001233045623
Hancock,0,Indiana,1,,0,,Hancock Indiana,18059,70002,68,0.01470588235
Wells,0,Indiana,1,1,0,,Wells Indiana,18179,27636,79,0.01265822785
LaPorte,0,Indiana,1,1,0,,LaPorte Indiana,18091,111467,377,0.002652519894
Kentucky state,1,Kentucky,16,2,0,,Kentucky state Kentucky,#N/A,#N/A,#N/A,#N/A
Harrison,0,Kentucky,6,,0,,Harrison Kentucky,21097,18846,61,0.09836065574
Jefferson,0,Kentucky,4,1,0,,Jefferson Kentucky,21111,741096,4795,0.0008342022941
Fayette,0,Kentucky,3,,0,,Fayette Kentucky,21067,295803,2379,0.001261034048
Montgomery,0,Kentucky,2,,0,,Montgomery Kentucky,21173,26499,42,0.04761904762
Nelson,0,Kentucky,1,1,0,,Nelson Kentucky,21179,43437,40,0.025
New Mexico state,1,New Mexico,13,3,0,,New Mexico state New Mexico,#N/A,#N/A,#N/A,#N/A
Bernalillo,0,New Mexico,6,1,0,,Bernalillo New Mexico,35001,662564,2020,0.00297029703
Santa Fe,0,New Mexico,3,,0,,Santa Fe New Mexico,35049,144170,258,0.01162790698
Socorro,0,New Mexico,2,,0,,Socorro New Mexico,35053,17866,24,0.08333333333
Sandoval,0,New Mexico,2,2,0,,Sandoval New Mexico,35043,131561,271,0.007380073801
Arkansas state,1,Arkansas,12,3,0,,Arkansas state Arkansas,#N/A,#N/A,#N/A,#N/A
Unassigned,2,Arkansas,9,,0,,Unassigned Arkansas,#N/A,#N/A,#N/A,#N/A
Jefferson,0,Arkansas,3,3,0,,Jefferson Arkansas,05069,77435,498,0.006024096386
Arizona state,1,Arizona,12,1,0,,Arizona state Arizona,#N/A,#N/A,#N/A,#N/A
Pinal,0,Arizona,5,,0,,Pinal Arizona,04021,375770,388,0.01288659794
Maricopa,0,Arizona,4,1,0,,Maricopa Arizona,04013,3817117,9705,0.0004121586811
Pima,0,Arizona,2,,0,,Pima Arizona,04019,980263,3018,0.0006626905235
Graham,0,Arizona,1,,0,,Graham Arizona,04009,37220,49,0.02040816327
"Washington, D.C. state",1,"Washington, D.C.",10,,0,,"Washington, D.C. state Washington, D.C.",#N/A,#N/A,#N/A,#N/A
District of Columbia,0,District of Columbia,10,,0,,District of Columbia District of Columbia,11001,601723,4304,0.002323420074
Utah state,1,Utah,10,1,0,,Utah state Utah,#N/A,#N/A,#N/A,#N/A
Summit,0,Utah,5,1,0,,Summit Utah,49043,36324,26,0.1923076923
Unassigned,2,Utah,2,,0,,Unassigned Utah,#N/A,#N/A,#N/A,#N/A
Davis,0,Utah,1,,0,,Davis Utah,49011,306479,579,0.001727115717
Weber,0,Utah,1,,0,,Weber Utah,49057,231236,477,0.002096436059
Salt Lake,0,Utah,1,,0,,Salt Lake Utah,49035,1029655,2932,0.0003410641201
South Dakota state,1,South Dakota,9,,1,,South Dakota state South Dakota,#N/A,#N/A,#N/A,#N/A
Minnehaha,0,South Dakota,3,,0,,Minnehaha South Dakota,46099,169468,1150,0.002608695652
Pennington,0,South Dakota,1,,1,,Pennington South Dakota,46103,100948,509,0.001964636542
Beadle,0,South Dakota,1,,0,,Beadle South Dakota,46005,17398,25,0.04
Charles Mix,0,South Dakota,1,,0,,Charles Mix South Dakota,46023,9129,37,0.02702702703
Davison,0,South Dakota,1,,0,,Davison South Dakota,46035,19504,67,0.01492537313
Bon Homme,0,South Dakota,1,,0,,Bon Homme South Dakota,46009,7070,50,0.02
McCook,0,South Dakota,1,,0,,McCook South Dakota,46087,5618,0,99999999999
Kansas state,1,Kansas,8,2,1,,Kansas state Kansas,#N/A,#N/A,#N/A,#N/A
Johnson,0,Kansas,5,1,0,,Johnson Kansas,20091,544179,1563,0.003198976328
Wyandotte,0,Kansas,1,,1,,Wyandotte Kansas,20209,157505,1196,0.0008361204013
Butler,0,Kansas,1,,0,,Butler Kansas,20015,65880,126,0.007936507937
Franklin,0,Kansas,1,1,0,,Franklin Kansas,20059,25992,44,0.02272727273
Alabama state,1,Alabama,7,1,0,,Alabama state Alabama,#N/A,#N/A,#N/A,#N/A
Montgomery,0,Alabama,1,,0,,Montgomery Alabama,01101,229363,1143,0.0008748906387
Jefferson,0,Alabama,1,,0,,Jefferson Alabama,01073,658466,4392,0.0002276867031
Elmore,0,Alabama,1,,0,,Elmore Alabama,01051,79303,138,0.007246376812
Tuscaloosa,0,Alabama,1,,0,,Tuscaloosa Alabama,01125,194656,933,0.001071811361
Limestone,0,Alabama,1,,0,,Limestone Alabama,01083,82782,102,0.009803921569
Unassigned,2,Alabama,1,,0,,Unassigned Alabama,#N/A,#N/A,#N/A,#N/A
Madison,0,Alabama,1,1,0,,Madison Alabama,01089,334811,1178,0.0008488964346
New Hampshire state,1,New Hampshire,7,,0,,New Hampshire state New Hampshire,#N/A,#N/A,#N/A,#N/A
Rockingham,0,New Hampshire,4,,0,,Rockingham New Hampshire,33015,295223,606,0.006600660066
Grafton,0,New Hampshire,3,,0,,Grafton New Hampshire,33009,89118,496,0.006048387097
Delaware state,1,Delaware,6,2,0,,Delaware state Delaware,#N/A,#N/A,#N/A,#N/A
New Castle,0,Delaware,6,2,0,,New Castle Delaware,10003,538479,2016,0.002976190476
Mississippi state,1,Mississippi,6,,0,,Mississippi state Mississippi,#N/A,#N/A,#N/A,#N/A
Forrest,0,Mississippi,3,,0,,Forrest Mississippi,28035,74934,545,0.005504587156
Leflore,0,Mississippi,1,,0,,Leflore Mississippi,28083,32317,208,0.004807692308
Pearl River,0,Mississippi,1,,0,,Pearl River Mississippi,28109,55834,84,0.0119047619
Copiah,0,Mississippi,1,,0,,Copiah Mississippi,28029,29449,25,0.04
Vermont state,1,Vermont,5,3,0,,Vermont state Vermont,#N/A,#N/A,#N/A,#N/A
Windsor,0,Vermont,2,2,0,,Windsor Vermont,50027,56670,60,0.03333333333
Bennington,0,Vermont,1,,0,,Bennington Vermont,50003,37125,99,0.0101010101
Chittenden,0,Vermont,1,,0,,Chittenden Vermont,50007,156545,562,0.001779359431
Washington,0,Vermont,1,1,0,,Washington Vermont,50023,59534,147,0.006802721088
Montana state,1,Montana,5,,0,,Montana state Montana,#N/A,#N/A,#N/A,#N/A
Unassigned,2,Montana,1,,0,,Unassigned Montana,#N/A,#N/A,#N/A,#N/A
Gallatin,0,Montana,1,,0,,Gallatin Montana,30031,89513,90,0.01111111111
Yellowstone,0,Montana,1,,0,,Yellowstone Montana,30111,147972,630,0.001587301587
Silver Bow,0,Montana,1,,0,,Silver Bow Montana,30093,34200,206,0.004854368932
Lewis and Clark,0,Montana,1,,0,,Lewis and Clark Montana,30049,63395,143,0.006993006993
Oklahoma state,1,Oklahoma,4,,0,,Oklahoma state Oklahoma,#N/A,#N/A,#N/A,#N/A
Tulsa,0,Oklahoma,2,,0,,Tulsa Oklahoma,40143,603403,3732,0.0005359056806
Jackson,0,Oklahoma,1,,0,,Jackson Oklahoma,40065,26446,49,0.02040816327
Oklahoma,0,Oklahoma,1,,0,,Oklahoma Oklahoma,40109,718633,4624,0.0002162629758
Hawaii state,1,Hawaii,4,,0,,Hawaii state Hawaii,#N/A,#N/A,#N/A,#N/A
Honolulu,0,Hawaii,2,,0,,Honolulu Hawaii,15003,953207,2219,0.000901306895
Kauai,0,Hawaii,2,,0,,Kauai Hawaii,15007,67091,144,0.01388888889
Missouri state,1,Missouri,4,,0,,Missouri state Missouri,#N/A,#N/A,#N/A,#N/A
St. Louis,0,Missouri,2,,0,,St. Louis Missouri,29189,998954,4820,0.0004149377593
Greene,0,Missouri,1,,0,,Greene Missouri,29077,275174,1402,0.0007132667618
Henry,0,Missouri,1,,0,,Henry Missouri,29083,22272,97,0.01030927835
Wyoming state,1,Wyoming,3,1,0,,Wyoming state Wyoming,#N/A,#N/A,#N/A,#N/A
Sheridan,0,Wyoming,1,,0,,Sheridan Wyoming,56033,29116,88,0.01136363636
Fremont,0,Wyoming,1,,0,,Fremont Wyoming,56013,40123,248,0.004032258065
Sheridan,0,Wyoming,1,1,0,,Sheridan Wyoming,56033,29116,88,0.01136363636
Maine state,1,Maine,3,,0,,Maine state Maine,#N/A,#N/A,#N/A,#N/A
Unassigned,2,Maine,2,,0,,Unassigned Maine,#N/A,#N/A,#N/A,#N/A
Androscoggin,0,Maine,1,,0,,Androscoggin Maine,23001,107702,483,0.002070393375
Wuhan Evacuee,2,Maine,3,,0,,Wuhan Evacuee Maine,#N/A,#N/A,#N/A,#N/A
Unassigned,2,Maine,3,,0,,Unassigned Maine,#N/A,#N/A,#N/A,#N/A
Puerto Rico state,1,Puerto Rico,3,,0,,Puerto Rico state Puerto Rico,#N/A,#N/A,#N/A,#N/A
Puerto Rico,2,Puerto Rico,3,,0,,Puerto Rico Puerto Rico,#N/A,#N/A,#N/A,#N/A
Idaho state,1,Idaho,2,1,0,,Idaho state Idaho,#N/A,#N/A,#N/A,#N/A
Ada,0,Idaho,1,,0,,Ada Idaho,16001,392365,1354,0.0007385524372
Blaine,0,Idaho,1,1,0,,Blaine Idaho,16013,21376,25,0.04
North Dakota state,1,North Dakota,1,,0,,North Dakota state North Dakota,#N/A,#N/A,#N/A,#N/A
Ward,0,North Dakota,1,,0,,Ward North Dakota,38101,61675,527,0.001897533207
Alaska state,1,Alaska,1,,0,,Alaska state Alaska,#N/A,#N/A,#N/A,#N/A
Anchorage,0,Alaska,1,,0,,Anchorage Alaska,02020,291826,988,0.001012145749
US Virgin Islands,2,Alaska,1,,0,,US Virgin Islands Alaska,#N/A,#N/A,#N/A,#N/A
Unassigned,2,Alaska,1,,0,,Unassigned Alaska,#N/A,#N/A,#N/A,#N/A
